Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Description
39826836,GarminHealth,16754|2024-10-19T16:47:37,5,1823658,30:23,9.87027172858069,,,,19/10/24 1:48 PM,19/10/24 4:48 PM,19/10/24 5:49 PM,19/10/24 5:49 PM,False,
39690873,GarminHealth,16754|2024-10-06T16:47:56,5,1790950,29:50,10.0505318406432,,,,6/10/24 1:48 PM,6/10/24 4:48 PM,6/10/24 5:28 PM,6/10/24 5:28 PM,False,
39616465,GarminHealth,16754|2024-09-29T17:07:06,5,1787546,29:47,10.0696709343424,,,,29/09/24 2:07 PM,29/09/24 5:07 PM,29/09/24 6:00 PM,29/09/24 6:00 PM,False,
39518345,GarminHealth,16754|2024-09-20T17:12:11,5,1820396,30:20,9.88795844420665,,,,20/09/24 2:12 PM,20/09/24 5:12 PM,20/09/24 6:12 PM,20/09/24 6:12 PM,False,
39453501,GarminHealth,16754|2024-09-15T17:08:30,5,1794646,29:54,10.0298331815857,,,,15/09/24 2:09 PM,15/09/24 5:09 PM,15/09/24 6:31 PM,15/09/24 6:31 PM,False,
39404453,GarminHealth,16754|2024-09-10T19:06:07,5.00068,1806086,30:06,9.96765823997307,,,,10/09/24 4:06 PM,10/09/24 7:06 PM,10/09/24 8:01 PM,10/09/24 8:01 PM,False,
39374715,GarminHealth,16754|2024-09-08T16:31:30,5,1784674,29:44,10.0858756277057,,,,8/09/24 1:32 PM,8/09/24 4:32 PM,8/09/24 5:25 PM,8/09/24 5:25 PM,False,
39294939,GarminHealth,16754|2024-09-01T16:44:36,5,1806451,30:06,9.96428909502666,,,,1/09/24 1:45 PM,1/09/24 4:45 PM,1/09/24 5:37 PM,1/09/24 5:37 PM,False,
39121194,GarminHealth,16754|2024-08-17T17:09:14,5,1792910,29:52,10.0395446508748,,,,17/08/24 2:09 PM,17/08/24 5:09 PM,17/08/24 6:00 PM,17/08/24 6:00 PM,False,
39099047,GarminHealth,16754|2024-08-15T16:46:44,5,1803440,30:03,9.98092534267844,,,,15/08/24 1:47 PM,15/08/24 4:47 PM,15/08/24 5:48 PM,15/08/24 5:48 PM,False,
